bet_num,matchup,pick,probability,ev,bet_size,won,profit,bankroll
1,DAL @ MEM,DAL,0.65,0.30000000000000004,75.00000000000001,True,75.00000000000001,1075.0
2,MIL @ TOR,MIL,0.65,0.30000000000000004,80.62500000000001,False,-80.62500000000001,994.375
3,DEN @ MIN,DEN,0.65,0.30000000000000004,74.57812500000001,False,-74.57812500000001,919.796875
4,LAC @ LAL,LAC,0.65,0.30000000000000004,68.98476562500001,False,-68.98476562500001,850.812109375
5,BKN @ MIA,BKN,0.65,0.30000000000000004,63.81090820312501,True,63.81090820312501,914.623017578125
6,CHA @ HOU,CHA,0.65,0.30000000000000004,68.59672631835939,False,-68.59672631835939,846.0262912597656
7,SAC @ GSW,SAC,0.5433333333333332,0.08666666666666645,18.330569643961542,False,-18.330569643961542,827.695721615804
8,GSW @ OKC,GSW,0.5439999999999999,0.08799999999999986,18.20930587554766,True,18.20930587554766,845.9050274913517
9,WAS @ MIA,WAS,0.5915,0.18300000000000005,38.70015500772935,False,-38.70015500772935,807.2048724836224
10,DAL @ DEN,DAL,0.647,0.29400000000000004,59.32955812754625,False,-59.32955812754625,747.8753143560762
11,BKN @ CHI,BKN,0.6335,0.2669999999999999,49.920677233268066,True,49.920677233268066,797.7959915893442
12,SAC @ HOU,SAC,0.65,0.30000000000000004,59.83469936920083,False,-59.83469936920083,737.9612922201434
13,UTA @ MIN,UTA,0.5265000000000001,0.05300000000000016,9.77798712191693,False,-9.77798712191693,728.1833050982265
14,BOS @ BKN,BOS,0.65,0.30000000000000004,54.613747882366994,True,54.613747882366994,782.7970529805934
15,ATL @ NOP,ATL,0.55,0.10000000000000009,19.569926324514853,True,19.569926324514853,802.3669793051083
16,LAL @ ORL,LAL,0.534,0.06800000000000006,13.640238648186854,False,-13.640238648186854,788.7267406569215
17,GSW @ CLE,GSW,0.65,0.30000000000000004,59.15450554926912,False,-59.15450554926912,729.5722351076524
18,LAL @ MIA,LAL,0.6359999999999999,0.2719999999999998,49.61091198732033,False,-49.61091198732033,679.961323120332
19,SAS @ IND,SAS,0.516,0.03200000000000003,5.439690584962661,False,-5.439690584962661,674.5216325353693
20,BOS @ MIN,BOS,0.65,0.30000000000000004,50.58912244015271,False,-50.58912244015271,623.9325100952167
21,GSW @ DET,GSW,0.65,0.30000000000000004,46.79493825714126,True,46.79493825714126,670.7274483523579
22,ATL @ OKC,ATL,0.65,0.30000000000000004,50.30455862642685,False,-50.30455862642685,620.4228897259311
23,SAC @ HOU,SAC,0.526,0.052000000000000046,8.065497566437111,False,-8.065497566437111,612.357392159494
24,DAL @ ORL,DAL,0.65,0.30000000000000004,45.92680441196206,True,45.92680441196206,658.284196571456
25,LAC @ NYK,LAC,0.65,0.30000000000000004,49.37131474285921,False,-49.37131474285921,608.9128818285968
26,PHX @ CHI,PHX,0.522,0.04400000000000004,6.698041700114571,True,6.698041700114571,615.6109235287114
27,SAS @ NYK,SAS,0.5820000000000001,0.16400000000000015,25.24004786467719,False,-25.24004786467719,590.3708756640342
28,POR @ SAC,POR,0.5680000000000001,0.13600000000000012,20.07260977257718,False,-20.07260977257718,570.298265891457
29,ATL @ ORL,ATL,0.65,0.30000000000000004,42.77236994185928,True,42.77236994185928,613.0706358333164
30,OKC @ SAC,OKC,0.65,0.30000000000000004,45.980297687498734,False,-45.980297687498734,567.0903381458177
31,MIN @ SAS,MIN,0.5960000000000001,0.19200000000000017,27.220336230999273,True,27.220336230999273,594.3106743768169
32,PHI @ DET,PHI,0.65,0.30000000000000004,44.573300578261275,True,44.573300578261275,638.8839749550782
33,UTA @ MEM,UTA,0.522,0.04400000000000004,7.027723724505867,True,7.027723724505867,645.9116986795841
34,MIL @ ORL,MIL,0.602,0.20399999999999996,32.94149663265878,False,-32.94149663265878,612.9702020469254
35,WAS @ BKN,WAS,0.524,0.04800000000000004,7.3556424245631105,False,-7.3556424245631105,605.6145596223622
36,IND @ PHI,IND,0.54,0.08000000000000007,12.112291192447255,False,-12.112291192447255,593.5022684299149
37,MIN @ GSW,MIN,0.65,0.30000000000000004,44.51267013224363,True,44.51267013224363,638.0149385621586
38,DAL @ NOP,DAL,0.65,0.30000000000000004,47.8511203921619,True,47.8511203921619,685.8660589543205
39,CHA @ NYK,CHA,0.534,0.06800000000000006,11.659723002223458,False,-11.659723002223458,674.206335952097
40,MIA @ SAS,MIA,0.62,0.24,40.452380157125816,True,40.452380157125816,714.6587161092228
41,CLE @ SAC,CLE,0.632,0.264,47.16747526320871,False,-47.16747526320871,667.4912408460141
42,MIA @ CHA,MIA,0.6140000000000001,0.2280000000000002,38.047000728222834,True,38.047000728222834,705.538241574237
43,DAL @ NOP,DAL,0.65,0.30000000000000004,52.91536811806778,False,-52.91536811806778,652.6228734561691
44,ORL @ BKN,ORL,0.57,0.1399999999999999,22.841800570965905,False,-22.841800570965905,629.7810728852032
45,ATL @ DET,ATL,0.65,0.30000000000000004,47.23358046639025,True,47.23358046639025,677.0146533515934
46,MIN @ GSW,MIN,0.65,0.30000000000000004,50.776099001369516,True,50.776099001369516,727.790752352963
47,MIL @ TOR,MIL,0.538,0.07600000000000007,13.828024294706308,True,13.828024294706308,741.6187766476693
48,CLE @ POR,CLE,0.6239999999999999,0.24799999999999978,45.98036415215545,True,45.98036415215545,787.5991407998247
49,DAL @ WAS,DAL,0.65,0.30000000000000004,59.06993555998686,True,59.06993555998686,846.6690763598116
50,MIN @ PHX,MIN,0.65,0.30000000000000004,63.50018072698588,False,-63.50018072698588,783.1688956328258
