game_id,game_date,season,home_team,away_team,home_pts,away_pts,total_pts,spread,home_won,home_fg_pct,away_fg_pct,home_fg3_pct,away_fg3_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,away_pts_l10,home_opp_pts_l10,away_opp_pts_l10,home_win_l10,away_win_l10,home_fg_pct_l10,away_fg_pct_l10,home_reb_l10,away_reb_l10,home_ast_l10,away_ast_l10,home_tov_l10,away_tov_l10,pts_diff_l10,def_diff_l10,win_rate_diff,fg_pct_diff,reb_diff,ast_diff,tov_diff,combined_pts_l10,combined_def_l10
0022200019,2022-10-21,2022-23,WAS,CHI,102,100,202,2,1,0.513,0.418,0.385,0.259,39,38,26,19,16,13,114.0,116.0,107.0,108.0,1.0,1.0,0.457,0.441,53.0,46.0,21.0,23.0,16.0,14.0,-2.0,1.0,0.0,0.016000000000000014,7.0,-2.0,2.0,230.0,215.0
0022200027,2022-10-21,2022-23,POR,PHX,113,111,224,2,1,0.439,0.457,0.345,0.37,48,41,14,31,18,16,115.0,107.0,108.0,105.0,1.0,1.0,0.443,0.471,44.0,40.0,20.0,25.0,11.0,12.0,8.0,-3.0,0.0,-0.02799999999999997,4.0,-5.0,-1.0,222.0,213.0
0022200022,2022-10-21,2022-23,MIA,BOS,104,111,215,-7,0,0.457,0.519,0.308,0.424,36,43,23,17,9,19,108.0,126.0,116.0,117.0,0.0,1.0,0.463,0.561,46.0,36.0,21.0,24.0,19.0,10.0,-18.0,1.0,-1.0,-0.09800000000000003,10.0,-3.0,9.0,234.0,233.0
0022200017,2022-10-21,2022-23,CHA,NOP,112,124,236,-12,0,0.454,0.472,0.382,0.364,37,53,30,23,13,15,129.0,130.0,102.0,108.0,1.0,1.0,0.511,0.49,51.0,61.0,26.0,31.0,15.0,12.0,-1.0,6.0,0.0,0.02100000000000002,-10.0,-5.0,3.0,259.0,210.0
0022200024,2022-10-21,2022-23,HOU,MEM,122,129,251,-7,0,0.473,0.459,0.457,0.452,45,50,18,26,14,12,107.0,115.0,117.0,112.0,0.0,1.0,0.429,0.389,54.0,64.0,25.0,27.0,15.0,13.0,-8.0,-5.0,-1.0,0.03999999999999998,-10.0,-2.0,2.0,222.0,229.0
0022200021,2022-10-21,2022-23,BKN,TOR,109,105,214,4,1,0.475,0.488,0.371,0.393,44,41,26,25,13,13,108.0,108.0,130.0,105.0,0.0,1.0,0.449,0.419,39.0,41.0,22.0,19.0,16.0,13.0,0.0,-25.0,-1.0,0.030000000000000027,-2.0,3.0,3.0,216.0,235.0
0022200020,2022-10-21,2022-23,ATL,ORL,108,98,206,10,1,0.449,0.413,0.419,0.235,46,44,26,16,17,19,117.0,109.0,107.0,113.0,1.0,0.0,0.5,0.488,38.0,48.0,30.0,21.0,9.0,18.0,8.0,6.0,1.0,0.01200000000000001,-10.0,9.0,-9.0,226.0,220.0
0022200018,2022-10-21,2022-23,IND,SAS,134,137,271,-3,0,0.49,0.543,0.314,0.548,42,37,32,34,16,17,107.0,102.0,114.0,129.0,0.0,0.0,0.402,0.404,42.0,44.0,21.0,22.0,15.0,15.0,5.0,15.0,0.0,-0.0020000000000000018,-2.0,-1.0,0.0,209.0,243.0
0022200025,2022-10-21,2022-23,MIN,UTA,126,132,258,-6,0,0.458,0.441,0.333,0.4,60,54,20,39,20,13,115.0,123.0,108.0,102.0,1.0,1.0,0.415,0.506,55.0,43.0,25.0,27.0,14.0,19.0,-8.0,-6.0,0.0,-0.09100000000000003,12.0,-2.0,-5.0,238.0,210.0
0022200032,2022-10-22,2022-23,CHI,CLE,96,128,224,-32,0,0.405,0.565,0.241,0.593,35,48,19,32,10,17,108.0,105.0,105.0,108.0,0.5,0.0,0.4295,0.494,42.0,38.0,21.0,25.0,13.5,17.0,3.0,3.0,0.5,-0.0645,4.0,-4.0,-3.5,213.0,213.0
