game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_pts_l5,home_margin_l5,away_pts_l5,away_margin_l5,home_strength,away_strength,strength_diff,temp_f,wind_mph
401632062,2024-08-31,2024,LOU,APSU,62,0,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,86.5,8.2
401628451,2024-08-31,2024,MD,CONN,50,7,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,84.9,5.9
401628461,2024-08-31,2024,WIS,WMU,28,14,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,79.8,8.6
401628333,2024-08-31,2024,VAN,VT,34,27,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,68.1,6.3
401634169,2024-08-31,2024,PUR,INST,49,0,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,72.5,8.9
401634133,2024-08-31,2024,APP,ETSU,38,10,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,82.1,14.4
401628450,2024-08-31,2024,IOWA,ILST,40,0,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,72.6,1.1
401629039,2024-08-31,2024,MASS,EMU,14,28,0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,76.6,11.6
401628457,2024-08-31,2024,WVU,PSU,12,34,0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,95.8,12.7
401634197,2024-08-31,2024,ISU,UND,21,3,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,71.4,7.5
401628326,2024-08-31,2024,MSST,EKU,56,7,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,80.9,7.7
401628586,2024-08-31,2024,LIB,CAM,41,24,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,61.5,10.7
401643775,2024-08-31,2024,USA,UNT,38,52,0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,76.0,6.8
401634301,2024-08-31,2024,CAL,UCD,31,13,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,66.7,7.6
401628590,2024-08-31,2024,MRSH,STBK,45,3,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,71.6,7.2
401628329,2024-08-31,2024,SC,ODU,23,19,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,65.2,4.2
401644683,2024-08-31,2024,NU,M-OH,13,6,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,88.9,6.7
401644731,2024-08-31,2024,NIU,WIU,54,15,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,71.1,14.4
401643699,2024-08-31,2024,AFA,MRMK,21,6,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,74.6,10.7
401641015,2024-08-31,2024,UTSA,KENN,28,16,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,85.5,0.3
401628589,2024-08-31,2024,UVA,RICH,34,13,1,28.0,0.0,28.0,0.0,0.0,0.0,0.0,74.4,7.3
